memorialis_naam,naam,QID,Facebook_ID,social media followers,image,commons_category,LinkedIn_ID,Twitter_username,geboortejaar,sterfjaar,911    1,naam alternatief,681   ,902   ,903   ,viaf id,Column 1,035   ,035    1,670   ,375   ,900   ,901   ,920   ,046   ,905   ,COR   ,911   ,912   ,910   ,85642 ,906   ,5001  ,904   ,000   ,678   ,8564  ,1101  ,5102  ,4101  ,908   ,599   ,856   ,998   ,4102  
"Goubert, Lucia",Lucia Goubert,Q55231988,,,,,,,1961,,faculteit Economie en Bedrijfskunde$$gEB$$s1995,,"$$aEconomie, Bedrijfseconomie en Management",,,,000004401 ,$$a(biblio)801000552250,$$a(biblio)801000552250,$$aEerste vermelding Studiegids 1995-96,$$avrouw,,,$$apersoon,$$f19611215$$gunknown$$s1995$$t2000,,,$$afaculteit Economie en Bedrijfskunde$$gEB$$s1995$$t2000$$idocent$$0mem10:000006129,,$$avakgroep Sociale Economie$$gEB03$$0mem10:000006138,$$uhttp://lib.ugent.be/fulltxt/MEM10/000/004/401/000004401-01.jpg,,,,,,,,,,,,,,
"Govaere, Inge",Inge Govaere,Q55232149,,,,,,,1965,,faculteit Recht en Criminologie$$gRE$$s2006$$tu,,$$aRecht,,,19824132,000004402 ,$$a(viaf)19824132,$$a,$$aEerste vermelding Studiegids 1999-00,$$avrouw,,,$$apersoon,$$f19650119$$gunknown$$s1999$$tunknown,,"$$aGovaere, Inge$$0ZZZ",$$afaculteit Recht en Criminologie$$gRE$$s2006$$tunknown$$ihoofddocent$$0mem10:000006010,$$avakgroep Europees Recht$$gRE07$$s2013$$t2014$$ivoorzitter$$0mem10:000006028,"$$avakgroep Europees, Publiek- en Internationaal Recht$$gRE22$$0mem10:000006025",$$uhttp://lib.ugent.be/fulltxt/MEM10/000/004/402/000004402-01.jpg,,,,,,,,,,,,,,
"Govaerts, Willy",Willy Govaerts,Q26820897,,,,,,,1951,,faculteit Wetenschappen$$gWE$$s2008$$tunknown$$,,"$$aWiskunde, Toegepaste Wiskunde en Informatica",,,289815006,000004404 ,$$a(viaf)289815006,$$a,$$aEerste vermelding Studiegids 1999-00,$$aman,,,$$apersoon,$$f19510108$$gunknown$$s1999$$tunknown,,"$$aGovaerts, Willy$$0ZZZ",$$afaculteit Wetenschappen$$gWE$$s2008$$tunknown$$igewoon hoogleraar$$0mem10:000006034,"$$avakgroep Toegepaste Wiskunde, Informatica en Statistiek$$gWE02$$s2010$$t2016$$ivoorzitter$$0mem10:000006046","$$avakgroep Toegepaste Wiskunde, Informatica en Statistiek$$gWE02$$0mem10:000006046",$$uhttp://lib.ugent.be/fulltxt/MEM10/000/004/404/000004404-01.jpg,,,,,,,,,,,,,,
"Greinert, Jens",Jens Greinert,Q55233374,,,,,,,1968,,faculteit Wetenschappen$$gWE$$s2009$$tunknown$$,,$$aAardwetenschappen en geografie,,,168871550,000004406 ,$$a(viaf)168871550,$$a,$$aEerste vermelding Studiegids 2009-10,$$aman,,,$$apersoon,$$f19680412$$gunknown$$sunknown$$tunknown,,"$$aGreinert, Jens$$0ZZZ",$$afaculteit Wetenschappen$$gWE$$s2009$$tunknown$$igastdocent$$0mem10:000006034,,$$avakgroep Geologie en Bodemkunde$$gWE13$$0mem10:000006058,$$uhttp://lib.ugent.be/fulltxt/MEM10/000/004/406/000004406-01.jpg,,,,,,,,,,,,,,
"Griffin, Susan",Susan Griffin,Q7647892,,,,,,,1943,,faculteit Letteren en Wijsbegeerte$$gLW$$s2010$,,$$aGermaanse Taal- en Letterkunde,,,,000004407 ,$$a(biblio),$$a(biblio),$$ahttps://en.wikipedia.org/wiki/Susan_Griffin,$$avrouw,,,$$apersoon,$$f19430126$$gunknown$$sunknown$$tunknown,,"$$aGriffin, Susan$$d1943-$$0ZZZ",$$afaculteit Letteren en Wijsbegeerte$$gLW$$s2010$$t2011$$igastdocent$$0mem10:000005974,,$$avakgroep Engels$$gLW11$$0mem10:000005993,$$uhttp://lib.ugent.be/fulltxt/MEM10/000/004/407/000004407-01.jpg,,,,,,,,,,,,,,
"Grooten, Johan",Johan Grooten,Q104507230,,,,,,,1952,,faculteit Wetenschappen$$gWE$$s2003$$tunknown$$,,$$aBiologie,,,315214644,000004409 ,$$a(viaf)315214644,$$a,$$aEerste vermelding Studiegids 2002-03,$$aman,,,$$apersoon,$$f19520506$$gunknown$$s2002$$tunknown,,"$$aGrooten, Johan$$0ZZZ",$$afaculteit Wetenschappen$$gWE$$s2003$$tunknown$$ihoofddocent$$0mem10:000006034,$$avakgroep Biomedische Moleculaire Biologie$$gWE14$$s2011$$tunknown$$ivoorzitter$$0mem10:000006059,$$avakgroep Biomedische Moleculaire Biologie$$gWE14$$0mem10:000006059,$$uhttp://lib.ugent.be/fulltxt/MEM10/000/004/409/000004409-01.jpg,,,,,,,,,,,,,,
"Grünewald, Martin",Martin Werner Grünewald,Q96691158,,,,,,,1962,,faculteit Wetenschappen$$gWE$$s2009$$tunknown$$,,$$aFysica en Sterrenkunde,,,,000004411 ,$$aNIV,$$aNIV,$$aEerste vermelding Studiegids 2008-09,$$aman,,,$$apersoon,$$f19620128$$gunknown$$s2008$$tunknown,,"$$aGrünewald, Martin$$0ZZZ",$$afaculteit Wetenschappen$$gWE$$s2009$$tunknown$$igewoon hoogleraar$$0mem10:000006034,,$$avakgroep Fysica en Sterrenkunde$$gWE05$$0mem10:000006049,$$uhttp://lib.ugent.be/fulltxt/MEM10/000/004/411/000004411-01.jpg,,,,,,,,,,,,,,
"Grypdonck, Maria",Mieke Grypdonck,Q13856458,,,,,,,1946,,Universiteit Gent$$s2009$$iemeritus,,$$aAndere Medische Disciplines,,,288726039,000004412 ,$$a(viaf)288726039,$$a,$$aEerste vermelding Studiegids 1994-95,$$avrouw,,,$$apersoon,$$f19460120$$gunknown$$s1994$$t2009,,,$$aUniversiteit Gent$$s2009$$iemeritus,,$$avakgroep Maatschappelijke Gezondheidkunde$$gGE12$$0mem10:000006084,$$uhttp://lib.ugent.be/fulltxt/MEM10/000/004/412/000004412-01.jpg,,,,,,,,,,,,,,
"Gulinck, Hubert",Hubert Gulinck,Q55233307,,,,,,,1951,,faculteit Bio-Ingenieurswetenschappen$$gBW$$s20,,$$aToegepaste Biologische Wetenschappen,,,251083135,000004414 ,$$a(viaf)251083135,$$a,$$aEerste vermelding Studiegids 2005-06,$$aman,,,$$apersoon,$$f19510209$$gunknown$$sunknown$$tunknown,,"$$aGulinck, Hubert$$0ZZZ",$$afaculteit Bio-Ingenieurswetenschappen$$gBW$$s2005$$tunknown$$igastdocent$$0mem10:000006188,,$$avakgroep Bos- en Waterbeheer$$gBW04$$0mem10:000006196,$$uhttp://lib.ugent.be/fulltxt/MEM10/000/004/414/000004414-01.jpg,,,,,,,,,,,,,,
"Gyssels, Kathleen",Kathleen Gyssels,Q55232564,,,,,,,1963,,faculteit Letteren en Wijsbegeerte$$gLW$$s2011$,,$$aAndere Taal- en Letterkunde,,,,000004416 ,$$a(biblio)802000970844,$$a(biblio)802000970844,$$aEerste vermelding Studiegids 2011-12,$$avrouw,,,$$apersoon,$$f19630831$$gunknown$$sunknown$$tunknown,,"$$aGyssels, Kathleen$$0ZZZ",$$afaculteit Letteren en Wijsbegeerte$$gLW$$s2011$$tunknown$$igastdocent$$0mem10:000005974,,$$avakgroep Afrikaanse Talen en Culturen$$gLW19$$0mem10:000006000,$$uhttp://lib.ugent.be/fulltxt/MEM10/000/004/416/000004416-01.jpg,,,,,,,,,,,,,,
"Hadermann, Pascale",Pascale Hadermann,Q55231990,,,,,,,1961,,faculteit Letteren en Wijsbegeerte$$gLW$$s2010$,,$$aRomaanse Taal- en Letterkunde,,,73962194,000004417 ,$$a(viaf)73962194,$$a,$$aEerste vermelding Studiegids 2001-02,$$avrouw,,,$$apersoon,$$f19611222$$gunknown$$s2001$$tunknown,,"$$aHadermann, Pascale$$0ZZZ",$$afaculteit Letteren en Wijsbegeerte$$gLW$$s2010$$tunknown$$ihoofddocent$$0mem10:000005974,,$$avakgroep Taalkunde$$gLW06$$0mem10:000005986,$$uhttp://lib.ugent.be/fulltxt/MEM10/000/004/417/000004417-01.jpg,,,,,,,,,,,,,,
"Haeck, Yves",Yves Haeck,Q55232487,,,,,,,1968,,faculteit Recht en Criminologie$$gRE$$s2011$$tu,,$$aRecht,,,70709780,000004418 ,$$a(viaf)70709780,$$a,$$aEerste vermelding Studiegids 2011-12,$$aman,,,$$apersoon,$$f19680301$$gunknown$$s2011$$tunknown,,"$$aHaeck, Yves$$0ZZZ",$$afaculteit Recht en Criminologie$$gRE$$s2011$$tunknown$$idocent$$0mem10:000006010,,$$avakgroep Publiekrecht en Belastingrecht$$gRE10$$0mem10:000006029,$$uhttp://lib.ugent.be/fulltxt/MEM10/000/004/418/000004418-01.jpg,,,,,,,,,,,,,,
"Haegeman, Guy",Guy Haegeman,Q55233579,,,,,,,1946,2019,faculteit Wetenschappen$$gWE$$s2011$$tunknown$$,,$$aBiologie,,,284247098,000004419 ,$$a(viaf)284247098,$$a,$$aEerste vermelding Studiegids 2001-02,$$aman,,,$$apersoon,$$f19461015$$g20190624$$s20001001$$t20121001,,"$$aHaegeman, Guy$$d1946-$$0(viaf)284247098$$0ZZZ",$$afaculteit Wetenschappen$$gWE$$s2011$$tunknown$$igewoon hoogleraar$$0mem10:000006034,,$$avakgroep Biomedische Moleculaire Biologie$$gWE14$$0mem10:000006059,$$uhttp://lib.ugent.be/fulltxt/MEM10/000/004/419/000004419-01.jpg,,,,,"$$aProf. dr. Guy Haegeman werd geboren in Zottegem op 15 oktober 1946. Hij behaalde in 1968 het diploma van licentiaat in de Scheikunde en in 1973 de graad van doctor in de Scheikunde aan de toenmalige Rijksuniversiteit Gent. Van 1 juli 1968 tot 30 september 1969 werkte prof. dr. Guy Haegeman als assistent in het Laboratorium voor Fysiologische Scheikunde . Op 1 oktober 1969 werkte hij bij het N.F.W.O. achtereenvolgens als aspirant, navorser, onderzoeksleider en onderzoeksdirecteur. Hij bleef in deze periode verbonden aan de Universiteit Gent als wetenschappelijk medewerker en als deeltijds onbezoldigd gastprofessor. Met ingang van 1 oktober 2000 werd prof. dr. Guy Haegeman aan de Universiteit Gent benoemd tot hoofddocent, hoogleraar en gewoon hoogleraar aan de faculteit Wetenschappen, bij de vakgroep Moleculaire Biologie en later van de vakgroep Fysiologie. Hij was hoofd van het Laboratorium voor Eukaryotische Genexpressie en Signaaltransductie “LEGEST”. Op 1 oktober 2012 werd eervol ontslag verleend aan prof. dr. Guy Haegeman naar aanleiding van zijn vervroegde pensionering. Na zijn pensionering bleef prof. dr. Guy Haegeman nog vier academiejaren verbonden aan de vakgroep Fysiologie. Prof. dr. Guy Haegeman, ere gewoon hoogleraar van de faculteit Wetenschappen, is op 24 juni 2019 overleden.",,,,,,,,,
"Haegeman, Liliane",Liliane Madeleine Victor Haegeman,Q11348550,,,,,,,1954,,faculteit Letteren en Wijsbegeerte$$gLW$$s2008$,,$$aGermaanse Taal- en Letterkunde,,,310528620,000004420 ,$$a(viaf)310528620,$$a,$$aEerste vermelding Studiegids 2008-09,$$avrouw,,,$$apersoon,$$f19540701$$gunknown$$s2008$$tunknown,,"$$aHaegeman, Liliane$$0ZZZ",$$afaculteit Letteren en Wijsbegeerte$$gLW$$s2008$$tunknown$$igewoon hoogleraar$$0mem10:000005974,,$$avakgroep Taalkunde$$gLW06$$0mem10:000005986,$$uhttp://lib.ugent.be/fulltxt/MEM10/000/004/420/000004420-01.jpg,,,,,,,,,,,,,,
"Haerinck, Ernie",Ernie Haerinck,Q55233576,,,,,,,1949,2016,faculteit Letteren en Wijsbegeerte$$gLW$$s2007$,,$$aGeschiedenis en/of Archeologie,,,12400726,000004425 ,$$a(viaf)12400726,$$a,$$aEerste vermelding Studiegids 1992-93,$$aman,$$aGent$$bOost-Vlaanderen$$cBelgië,$$aGent$$bOost-Vlaanderen$$cBelgië,$$apersoon,$$f19490620$$g20161005$$s1992$$t20141001,,"$$aHaerinck, Ernie$$d1949-$$0(viaf)12400726$$0ZZZ",$$afaculteit Letteren en Wijsbegeerte$$gLW$$s2007$$tunknown$$igewoon hoogleraar$$0mem10:000005974,,$$avakgroep Talen en Culturen van het Nabije Oosten en Noord-Afrika$$gLW14$$0mem10:000005997,$$uhttp://lib.ugent.be/fulltxt/MEM10/000/004/425/000004425-01.jpg,,,,,,,,,,,,,,
"Haesaert, Geert",Geert Haesaert,Q37338286,,,,,,,1959,,faculteit Bio-Ingenieurswetenschappen$$gBW$$s20,,$$aToegepaste Biologische Wetenschappen,,,,000004426 ,$$aNIV,$$aNIV,$$aEerste vermelding Studiegids 2010-11,$$aman,,,$$apersoon,$$f19590729$$gunknown$$sunknown$$tunknown,,"$$aHaesaert, Geert$$0ZZZ",$$afaculteit Bio-Ingenieurswetenschappen$$gBW$$s2010$$tunknown$$igastdocent$$0mem10:000006188,$$avakgroep Toegepaste Biowetenschappen$$gBW15$$s2013$$tunknown$$ivoorzitter$$0mem10:000006207,$$avakgroep Toegepaste Biowetenschappen$$gBW15$$0mem10:000006207,$$uhttp://lib.ugent.be/fulltxt/MEM10/000/004/426/000004426-01.jpg,,,,,,,,,,,,,,
"Haesebrouck, Freddy",Freddy Haesebrouck,Q38318822,,,,,,,1958,,faculteit Diergeneeskunde$$gDI$$s2001$$tunknown,,$$aDiergeneeskunde,,,,000004427 ,$$aNIV,$$aNIV,$$aEerste vermelding Studiegids 1989-90,$$aman,,,$$apersoon,$$f19580316$$gunknown$$s1988$$tunknown,,"$$aHaesebrouck, Freddy$$0ZZZ",$$afaculteit Diergeneeskunde$$gDI$$s2001$$tunknown$$igewoon hoogleraar$$0mem10:000006151,$$aLaboratorium voor bacteriologie van de huisdieren$$s1989$$t1992$$idirecteur-diensthoofd$$0mem10:000008609,"$$avakgroep Pathologie, Bacteriologie en Pluimveeziekten$$gDI05$$0mem10:000006162",$$uhttp://lib.ugent.be/fulltxt/MEM10/000/004/427/000004427-01.jpg,,,,,,,,,,,,,,
"Hallyn, Fernand",Fernand Hallyn,Q55232763,,,,,,,1945,2009,faculteit Letteren en Wijsbegeerte$$gLW$$s2000$,,$$aRomaanse Taal- en Letterkunde,,,56610964,000004431 ,$$a(viaf)56610964,$$a,$$aEerste vermelding Studiegids 1988-89,$$aman,,,$$apersoon,$$f19450920$$g20090712$$s1987$$t2009,,,$$afaculteit Letteren en Wijsbegeerte$$gLW$$s2000$$tunknown$$igewoon hoogleraar$$0mem10:000005974,$$aSeminarie voor Franse literatuur$$s1988$$t1992$$idirecteur-diensthoofd$$0mem10:000008390,$$avakgroep Frans$$gLW07$$0mem10:000005989,$$uhttp://www.ugentmemorie.be/personen/hallyn-fernand-1945-2009$$zUGentMemorie,,,,,,,,,,,,,,
"Ham, Hamphrey",Hamphrey Ham,Q55232038,,,,,,,1948,,faculteit Geneeskunde en Gezondheidswetenschapp,,$$aAndere Medische Disciplines,,,313515234,000004432 ,$$a(viaf)313515234,$$a,$$aEerste vermelding Studiegids 2004-05,$$aman,,,$$apersoon,$$f19481017$$gunknown$$s2004$$t20131101,,"$$aHam, Hamphrey$$0ZZZ",$$afaculteit Geneeskunde en Gezondheidswetenschappen$$gGE$$s2004$$tunknown$$ihoofddocent$$0mem10:000006060,,$$avakgroep Radiotherapie en Experimenteel Kankeronderzoek$$gGE17$$0mem10:000006090,$$uhttp://lib.ugent.be/fulltxt/MEM10/000/004/432/000004432-01.jpg,,,,,,,,,,,,,,
"Hamdi, Moustapha",Moustapha Hamdi,Q55232057,,,,,,,1967,,faculteit Geneeskunde en Gezondheidswetenschapp,,$$aHeelkunde,,,42117455,000004433 ,$$a(viaf)42117455,$$a,$$aEerste vermelding Studiegids 2009-10,$$aman,,,$$apersoon,$$f19670203$$gunknown$$sunknown$$tunknown,,"$$aHamdi, Moustapha$$0ZZZ",$$afaculteit Geneeskunde en Gezondheidswetenschappen$$gGE$$s2009$$tunknown$$igastdocent$$0mem10:000006060,,$$avakgroep Heelkunde$$gGE10$$0mem10:000006082,$$uhttp://lib.ugent.be/fulltxt/MEM10/000/004/433/000004433-01.jpg,,,,,,,,,,,,,,
"Hartsuiker, Robert",Robert J Hartsuiker,Q48689786,,,,,,,1968,,faculteit Psychologie en Pedagogische Wetenscha,,$$aPsychologische en Pedagogische Wetenschappen,,,43688360,000004439 ,$$a(viaf)43688360,$$a,$$aEerste vermelding Studiegids 2002-03,$$aman,,,$$apersoon,$$f19680131$$gunknown$$s2002$$tunknown,,"$$aHartsuiker, Robert$$0ZZZ",$$afaculteit Psychologie en Pedagogische Wetenschappen$$gPP$$s2010$$tunknown$$ihoogleraar$$0mem10:000006170,$$avakgroep Experimentele Psychologie$$gPP02$$s2006$$t2014$$ivoorzitter$$0mem10:000006179,$$avakgroep Experimentele Psychologie$$gPP02$$0mem10:000006179,$$uhttp://lib.ugent.be/fulltxt/MEM10/000/004/439/000004439-01.jpg,,,,,,,,,,,,,,
"Haustraete, José",José Haustraete,Q55233537,,,,,,,1947,,faculteit Recht en Criminologie$$gRE$$s2003$$tu,"Haustraete, Jozef",$$aRecht,,,193312929,000004441 ,$$a(viaf)193312929,$$a,$$aEerste vermelding Studiegids 2003-04,$$aman,,,$$apersoon,$$f19470503$$gunknown$$sunknown$$tunknown,,"$$aHaustraete, José$$0ZZZ",$$afaculteit Recht en Criminologie$$gRE$$s2003$$tunknown$$igastdocent$$0mem10:000006010,,$$avakgroep Publiekrecht en Belastingrecht$$gRE10$$0mem10:000006029,$$uhttp://lib.ugent.be/fulltxt/MEM10/000/004/441/000004441-01.jpg,,,,,,,,,,,,,,
"Hautekeete, Marc",Marc Hautekeete,Q55948343,,,,,,,,,$$s1996$$tunknown$$igastdocent,"Hautekeete, Marc L.",,,,,000004442 ,$$a(biblio)801001088477,$$a(biblio)801001088477,$$aEerste vermelding Studiegids lijst PD,$$aman,,,$$apersoon,$$funknown$$gunknown$$sunknown$$tunknown,,,$$s1996$$tunknown$$igastdocent,,,$$uhttp://lib.ugent.be/fulltxt/MEM10/000/004/442/000004442-01.jpg,,,,,,,,,,,,,,
"Hebberecht, Patrick",Patrick Hebberecht,Q55233130,,,,,,,1951,2015,School voor Criminologie$$s19881001$$tunknown$$,,"$$aPolitieke, Sociale en Communicatiewetenschappen",,,56728854,000004443 ,$$a(viaf)56728854,$$a,$$aEerste vermelding Studiegids 1988-89,$$aman,$$aGent$$bOost-Vlaanderen$$cBelgië,,$$apersoon,$$f19510812$$g20150117$$s1988$$tunknown,,"$$aHebberecht, Patrick$$0ZZZ",$$aSchool voor Criminologie$$s19881001$$tunknown$$idocent$$0mem10:000008564,$$avakgroep Strafrecht en Criminologie$$gRE08$$s1992$$t1998$$ivoorzitter$$0mem10:000006032,"$$avakgroep Criminologie, Strafrecht en Sociaal Recht$$gRE23$$0mem10:000006031",$$uhttp://www.ugentmemorie.be/personen/hebberecht-patrick-1951-2015$$zUGentMemorie,,,,,,,,,,,,,,
"Heene, Aimé",Aimé Heene,Q55232878,,,,,,,1950,,School voor Management$$s1994$$t2000$$idocent$$,,"$$aEconomie, Bedrijfseconomie en Management",,,51786628,000004444 ,$$a(viaf)51786628,$$a,$$aEerste vermelding Studiegids 1994-95,$$aman,,,$$apersoon,$$f19500521$$gunknown$$s1994$$t20121001,,,$$aSchool voor Management$$s1994$$t2000$$idocent$$0mem10:000006147,"$$avakgroep Management, Innovatie en Ondernemerschap$$gEB09$$s2002$$t2010$$ivoorzitter$$0mem10:000006148",$$avakgroep Personeels- en Organisatiemanagement$$gEB11$$0mem10:000006150,$$uhttp://lib.ugent.be/fulltxt/MEM10/000/004/444/000004444-01.jpg,,,,,,,,,,,,,,
"Heene, Johan",Johan Heene,Q55232399,,,,,,,1940,1997,faculteit Psychologie en Pedagogische Wetenscha,"Heene, Johan Alfons P.",$$aPsychologische en Pedagogische Wetenschappen,,,,000004445 ,$$a(biblio)801000117568,$$a(biblio)801000117568,$$aEerste vermelding Studiegids 1981-82,$$aman,,,$$apersoon,$$f19400201$$g19971108$$s1981$$t1997,,"$$aHeene, Johan$$dunknown-1997$$0ZZZ",$$afaculteit Psychologie en Pedagogische Wetenschappen$$gPP$$s19911001$$t1997$$igewoon hoogleraar$$0mem10:000006170,$$aSeminarie en laboratorium voor didaktiek$$s1988$$t1992$$idirecteur-diensthoofd$$0mem10:000008479,$$avakgroep Onderwijskunde$$gPP06$$0mem10:000006183,$$uhttp://www.ugentmemorie.be/personen/heene-johan-1940-1997$$zUGentMemorie,,,,,,,,,,,,,,
"Heip, Carlo",Carlo Heip,Q16115994,,,,,,,1945,2013,Universiteit Gent$$s2011$$iemeritus,"Heip, Carlos",$$aBiologie,,,18633504,000004446 ,$$a(viaf)18633504,$$a,$$aEerste vermelding Studiegids 1992-93,$$aman,,,$$apersoon,$$f19451118$$g20130215$$s1992$$t2011,,"$$aHeip, Carlo$$d1945-2013$$0ZZZ",$$aUniversiteit Gent$$s2011$$iemeritus,,$$avakgroep Biologie$$gWE11$$0mem10:000006056,$$uhttp://lib.ugent.be/fulltxt/MEM10/000/004/446/000004446-01.jpg,,,,,,,,,,,,,,
"Heirbaut, Dirk",Dirk Heirbaut,Q55232720,,,,,,,1966,,faculteit Recht en Criminologie$$gRE$$s2009$$tu,,$$aRecht,,,71670127,000004447 ,$$a(viaf)71670127,$$a,$$aEerste vermelding Studiegids 1997-98,$$aman,,,$$apersoon,$$f19660909$$gunknown$$s1997$$tunknown,,"$$aHeirbaut, Dirk$$0ZZZ",$$afaculteit Recht en Criminologie$$gRE$$s2009$$tunknown$$ihoogleraar$$0mem10:000006010,$$avakgroep Grondslagen en Geschiedenis van het Recht$$gRE02$$s2009$$t2014$$ivoorzitter$$0mem10:000006017,"$$avakgroep Metajuridica, Privaat- en Ondernemingsrecht$$gRE21$$0mem10:000006016",$$uhttp://lib.ugent.be/fulltxt/MEM10/000/004/447/000004447-01.jpg,,,,,,,,,,,,,,
"Heirman, Ann",Ann Heirman,Q21253959,,,,,,AnnHeirman,1965,,faculteit Letteren en Wijsbegeerte$$gLW$$s2010$,,$$aAndere Taal- en Letterkunde,,,306342242,000004448 ,$$a(viaf)306342242,$$a,$$aEerste vermelding Studiegids 2003-04,$$avrouw,,,$$apersoon,$$f19650323$$gunknown$$s2003$$tunknown,,"$$aHeirman, Ann$$0ZZZ",$$afaculteit Letteren en Wijsbegeerte$$gLW$$s2010$$tunknown$$ihoofddocent$$0mem10:000005974,,$$avakgroep Talen en Culturen van Zuid en Oost-Azië$$gLW15$$0mem10:000005998,$$uhttp://lib.ugent.be/fulltxt/MEM10/000/004/448/000004448-01.jpg,,,,,,,,,,,,,,
"Hendrickx, Hendrik",Hendrik Hendrickx,Q55232501,,,,,,,1944,,faculteit Economie en Bedrijfskunde$$gEB$$s2002,,"$$aEconomie, Bedrijfseconomie en Management",,,,000004452 ,$$a(biblio)801000387451,$$a(biblio)801000387451,$$aEerste vermelding Studiegids 2002-03,$$aman,,,$$apersoon,$$f19440628$$gunknown$$sunknown$$tunknown,,"$$aHendrickx, Hendrik$$0ZZZ",$$afaculteit Economie en Bedrijfskunde$$gEB$$s2002$$t2007$$igastdocent$$0mem10:000006129,,$$afaculteit Economie en Bedrijfskunde$$gEB$$0mem10:000006129,$$uhttp://lib.ugent.be/fulltxt/MEM10/000/004/452/000004452-01.jpg,,,,,,,,,,,,,,
"Henriet, Jean",Jean Henriet,,,,,,,,1945,2017,Universiteit Gent$$s2010$$iemeritus,"Henriet, Jean-Pierre",$$aAardwetenschappen en geografie,,,,000004454 ,$$a(biblio)801000150712,$$a(biblio)801000150712,$$aEerste vermelding Studiegids 1992-93,$$aman,$$aGent$$bOost-Vlaanderen$$cBelgië,$$aGent$$bOost-Vlaanderen$$cBelgië,$$apersoon,$$f19450628$$g20170422$$s1992$$t2010,,"$$aHenriet, Jean$$d1945-$$0ZZZ",$$aUniversiteit Gent$$s2010$$iemeritus,,$$avakgroep Geologie en Bodemkunde$$gWE13$$0mem10:000006058,$$uhttp://lib.ugent.be/fulltxt/MEM10/000/004/454/000004454-01.jpg,,,,,"$$aVan 1990 tot 1995 was hij Directeur van het Département Géosciences Marines van IFREMER (Brest, Frankrijk). Jean-Pierre Henriet was een mariene geoloog en geofysicus. Hij was bepalend bij het mede-vormgeven van het mariene onderzoek aan de Universiteit Gent, in Vlaanderen en in België, in een internationale context en in het kader van talrijke internationale onderzoeksprogramma’s (bv. Europese Commissie, International Ocean Drilling Programme). Tijdens zijn loopbaan was hij ook Voorzitter van de European Association of Exploration Geophysicists (1991) en stichter van de PACE Foundation, een stichting ter ondersteuning van geofysische exploratie-verenigingen in Centraal- en Oost-Europa. Hij ontving de Grote Medaille ‘Sabba Stefanescu’ (1995) en de First Medal and Diplom of the Romanian Society of Geophysics and Romanian Academy (1995). Hij was Secretaris van het Nationaal Comité voor Oceanologie van de Academie, lid van de Commissie Wetenschappen van de Aarde van het FWO, lid van de Commission de Géographie, Géologie, Minéralogie van de FNRS, lid van de Wetenschappelijke Commissie van het Koninklijk Nederlands Instituut voor Onderzoek der Zee (NIOZ), lid van de Executive Committee van het Training Through Research Programma van IOC/UNESCO en lid van de Commission Nationale pour la Flotte Hautière. Sinds 2001 was hij gewoon lid van de Klasse Natuurwetenschappen van de Koninklijke Vlaamse Academie van België voor wetenschappen en Kunsten.",,,,,,,,,
"Henriet-Iserentant, Christine",Christine Henriet-Iserentant,Q55233552,,,,,,,1940,,Universiteit Gent$$s2004$$iemeritus,,$$aFysica en Sterrenkunde,,,,000004455 ,$$a(biblio)801000310356,$$a(biblio)801000310356,$$aEerste vermelding Studiegids 1983-84,$$avrouw,,,$$apersoon,$$f19401104$$gunknown$$s1983$$t2004,,,$$aUniversiteit Gent$$s2004$$iemeritus,,$$afaculteit Wetenschappen$$gWE$$0mem10:000006034,$$uhttp://lib.ugent.be/fulltxt/MEM10/000/004/455/000004455-01.jpg,,,,,,,,,,,,,,
"Herman, Gerrit",Gerrit Herman,,,,,,,,1948,,Universiteit Gent$$s2008$$iemeritus,,$$aChemie,,,,000004458 ,$$aNIV,$$aNIV,$$aEerste vermelding Studiegids 1992-93,$$aman,,,$$apersoon,$$f19480102$$gunknown$$s1992$$t2008,,"$$aHerman, Gerrit$$0ZZZ",$$aUniversiteit Gent$$s2008$$iemeritus,,$$avakgroep Anorganische en Fysische Chemie$$gWE06$$0mem10:000006050,$$uhttp://lib.ugent.be/fulltxt/MEM10/000/004/458/000004458-01.jpg,,,,,,,,,,,,,,
"Herman, Jan",Jan Herman,Q55937447,,,,,,,1958,,faculteit Letteren en Wijsbegeerte$$gLW$$s2009$,,$$aRomaanse Taal- en Letterkunde,,,100300013,000004459 ,$$a(viaf)100300013,$$a,$$aEerste vermelding Studiegids 2009-10,$$aman,,,$$apersoon,$$f19580417$$gunknown$$sunknown$$tunknown,,"$$aHerman, Jan$$0ZZZ",$$afaculteit Letteren en Wijsbegeerte$$gLW$$s2009$$t2011$$igastdocent$$0mem10:000005974,,$$avakgroep Letterkunde$$gLW07$$0mem10:000005987,$$uhttp://lib.ugent.be/fulltxt/MEM10/000/004/459/000004459-01.jpg,,,,,,,,,,,,,,
"Herman, Peter",Peter Herman,,,,,,,,1956,,faculteit Wetenschappen$$gWE$$s2002$$t2007$$iga,,$$aBiologie,,,,000004461 ,$$a(biblio),$$a(biblio),$$ahttp://viaf.org/viaf/79233849,$$aman,,,$$apersoon,$$f1956$$gunknown$$sunknown$$tunknown,,"$$aHerman, Peter$$0ZZZ",$$afaculteit Wetenschappen$$gWE$$s2002$$t2007$$igastdocent$$0mem10:000006034,,$$avakgroep Biologie$$gWE11$$0mem10:000006056,$$uhttp://lib.ugent.be/fulltxt/MEM10/000/004/461/000004461-01.jpg,,,,,,,,,,,,,,
